x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,f1,f2
0.01671339678724924,1.3149971057685127e-05,9.895820363035013e-06,4.9489707731656523e-05,5.805308655129751e-06,1.5025682950937052e-07,4.577587890840183e-06,1.7374835467144699e-06,1.0500759232875274e-06,3.862702866152744e-06,0.01671339678724924,0.862425677874069
0.014478385566663837,8.110274386607902e-06,5.769307547126138e-06,4.201645944374059e-05,3.4368649201132444e-06,3.30123723033778e-07,1.8883860742865494e-05,1.6384910152709097e-06,9.609921724607496e-06,5.523916678272983e-06,0.014478385566663837,0.8734026427699053
0.014478385566663837,8.110274386607902e-06,5.769307547126138e-06,4.201645944374059e-05,3.4368649201132444e-06,3.30123723033778e-07,1.8883860742865494e-05,1.6384910152709097e-06,9.609921724607496e-06,5.523916678272983e-06,0.014478385566663837,0.8734026427699053
0.009087863310431987,4.2604586954370376e-06,0.000170315920416305,3.8456806638357006e-08,2.996642709767976e-06,3.373408648217681e-07,5.893635363187714e-06,6.6852195727587e-06,3.0127141002289148e-06,3.2464240237544183e-06,0.009087863310431987,0.9022976094258368
0.010427083670698428,7.529342774667026e-08,1.4382493376463308e-09,9.451844285212485e-09,1.2251672465406396e-07,4.13162204266715e-09,9.471148222086666e-08,7.983650066794657e-09,3.1971309317869745e-08,5.964547376724956e-09,0.010427083670698428,0.8945323355713541
0.006664151486272918,2.4871009228259714e-08,7.668043032195716e-09,7.353794434284399e-08,4.248622686121008e-08,3.0986412902940235e-08,1.9385970363194198e-07,1.3534987092826183e-08,1.8789624714792665e-08,1.2474145578350255e-08,0.006664151486272918,0.9169811068430512
0.004705991280586468,3.65814008341115e-05,3.3468720776227154e-05,0.00012533638735980806,0.00010373716087978634,1.828171556728015e-09,4.728400744960011e-05,4.141463109262459e-06,5.042807871420665e-06,7.27837100520961e-05,0.004705991280586468,0.9311202412357088
0.0033102474660621772,7.626064444273825e-05,4.9818826336179255e-06,2.1227521321564875e-06,9.243694709072111e-05,1.3103982445357091e-06,5.893635363187714e-06,7.298917554311248e-06,4.9385606208458617e-05,0.00039256595597902044,0.0033102474660621772,0.9427356938343567
0.0037176554746067847,7.463195205181242e-05,6.542551655635375e-07,4.251732597997218e-06,5.549560567748806e-08,3.497103027517965e-08,3.1075499113191643e-06,1.4349631611669361e-06,1.7310380336435666e-06,3.8719138280937787e-05,0.0037176554746067847,0.9387150304090741
0.03386318095641029,6.973390612829178e-05,1.5683687085049016e-06,5.855017042431625e-06,7.872682942267505e-06,3.742939130247864e-07,1.507596402241537e-05,1.5222982184003623e-06,3.3347806326188527e-06,2.9548387998858583e-06,0.03386318095641029,0.7864746794587307
0.03386318095641029,6.973390612829178e-05,1.5683687085049016e-06,5.855017042431625e-06,7.872682942267505e-06,3.742939130247864e-07,1.507596402241537e-05,1.5222982184003623e-06,3.3347806326188527e-06,2.9548387998858583e-06,0.03386318095641029,0.7864746794587307
0.028151826246862077,2.9803175350972384e-06,3.0375949263172657e-07,1.5040784423492978e-06,2.980623839207201e-06,1.0057916494320103e-07,3.2921070619281002e-06,2.310899917473836e-07,4.8091100260272534e-08,7.308018529746652e-07,0.028151826246862077,0.8104493911205791
0.03048943451309377,9.229283689442003e-07,6.509571110896137e-07,1.7345269693390766e-07,4.614903509715687e-07,2.9193189210444663e-06,3.429644041648563e-07,1.3756937408847046e-08,1.4697538475900594e-07,1.2335537435624402e-07,0.03048943451309377,0.8004539105978316
0.02587417788994773,8.236490990234034e-08,1.2317390990088228e-07,2.0269851329056522e-07,2.904630172866932e-08,4.604212052837446e-09,8.315544749118478e-08,2.425743365049278e-08,4.7371427902559345e-07,8.453783445860914e-06,0.02587417788994773,0.820362886525143
0.023177745825850582,1.92252238427351e-07,2.6994810851203075e-07,1.4040571705242606e-06,6.5800272377644135e-09,1.638906330652857e-07,2.475863823077706e-06,2.9269260721403786e-07,1.1790186845914751e-07,6.041461816031116e-07,0.023177745825850582,0.8323381524101741
0.020534641525990452,4.939101484277112e-08,1.0331088754887823e-08,1.3683550714198393e-07,3.8057984057275737e-08,2.154829880372365e-08,3.9088319727245394e-07,1.6350881924455177e-08,6.8935738491615956e-09,1.659559542808544e-07,0.020534641525990452,0.8443543653562696
0.017519238177137963,1.553076223093912e-05,1.145377820767994e-05,4.751268806349506e-06,2.4081884379442405e-06,2.1753870828965747e-07,2.2680121576424332e-05,6.135813723578558e-06,8.755312672470752e-07,4.966399358258848e-08,0.017519238177137963,0.8585367981594876
